"","state_data","size_data","rate_data","year"
"786","CA",17383,13.6,2009
"787","CO",11909,13.3,2009
"788","CT",6481,15.3,2009
"789","DE",4357,14.3,2009
"790","DC",3895,16.1,2009
"791","FL",12025,11.7,2009
"792","GA",5880,11.3,2009
"793","HI",6665,16.9,2009
"794","ID",5380,12.7,2009
"795","IL",5840,13.3,2009
"796","IN",9271,13.1,2009
"797","IA",6010,10.5,2009
"798","KS",18852,12.6,2009
"799","KY",9628,14.9,2009
"800","LA",8862,11,2009
"801","ME",8063,15.2,2009
"802","MD",8566,13.9,2009
"803","MA",16679,15.8,2009
"804","MI",9227,15.8,2009
"805","MN",5596,9.6,2009
"806","MS",11165,12.4,2009
"807","MO",5041,14.5,2009
"808","MT",7601,12.1,2009
"809","NE",15940,11.4,2009
"810","NV",3839,13.9,2009
"811","NH",5978,16.4,2009
"812","NJ",12347,12.6,2009
"813","NM",8813,13.5,2009
"814","NY",6901,14.4,2009
"815","NC",13252,12.9,2009
"816","ND",4752,12,2009
"817","OH",9743,15,2009
"818","OK",7823,15.5,2009
"819","OR",4283,16.3,2009
"820","PA",9149,13.4,2009
"821","RI",6278,15.8,2009
"822","SC",9828,13,2009
"823","SD",6809,11.5,2009
"824","TN",5566,11.9,2009
"825","TX",11568,12.2,2009
"826","UT",10127,13.7,2009
"827","VT",6640,14.8,2009
"828","VA",5170,12.8,2009
"829","WA",20231,15.1,2009
"830","WV",4807,12.4,2009
"831","WI",4546,13.7,2009
"832","WY",6043,13.5,2009
